Code;Flavor Text;Game Text;Item Name
5123;You've made an axe from the shell of a predator! An axe allows you to gather wood more efficiently, and to clear forests for building new outposts. It also serves as a decent weapon.;Discard the materials used and gain the Shell Axe item card (search the Item Card deck facedown for IT70). Record the recipe for this item in your tribe's journal.;Shell Axe
5155;You consider attaching the shell to the end of the line in order to fish, but you need something smaller, like a tooth or carved bone, to fashion a suitable hook. However, there may also be a way to use both the shell and the fiber to make something else...;You may attempt to craft using these two materials again or return these materials to your inventory.;None
5515;You consider attaching the shell to the end of the line in order to fish, but you need something smaller, like a tooth or carved bone, to fashion a suitable hook. However, there may also be a way to use both the shell and the fiber to make something else...;You may attempt to craft using these two materials again or return these materials to your inventory.;None
5523;You've made a broom! While it's a simple and rudimentary tool, it's still important to keep your home tidy!;Discard the materials used and gain the Broom item card (search the Item Card deck facedown for IT25). Record the recipe for this item in your tribe's journal.;Broom
5530;Braiding fiber and guts together unfortunately won't yield anything useful. Instead, perhaps if you tied them together into a longer cord… or maybe wove them together in a criss-cross pattern…;You may attempt to craft using these two materials again or return these materials to your inventory.;None
5533;You've made a bow! You'll also need arrows. You should gather some extra hardened wood for the arrow shafts, but the sharp tips and feathers are the most important parts...;Discard the materials used and gain the Wooden Bow item card (search the Item Card deck facedown for IT09). Record the recipe for this item in your tribe's journal.;Wooden Bow
5536;You consider attaching the shell to the end of the line in order to fish, but you need something smaller, like a tooth or carved bone, to fashion a suitable hook. However, there may also be a way to use both the shell and the fiber to make something else...;You may attempt to craft using these two materials again or return these materials to your inventory.;None
5550;You've made a waterproofed raincoat from woven fiber! A raincoat may prove useful while exploring.;Discard the materials used and gain the Raincoat item card (search the Item Card deck facedown for IT35). Record the recipe for this item in your tribe's journal.;Raincoat
5552;Using a few sheets woven from the fine strands of silk and braided plant fiber, you stitch together a pack for carrying things. The silk itself is light and strong, and imparts these qualities to anthing made with it. You fill the pack and hoist it over your shoulder. Somehow the contents feel lighter when inside the pack! You'll be able to easily carry more supplies this way!;Discard the materials used and gain the Silk Pack item card (search the Item Card deck facedown for IT80). Record the recipe for this item in your tribe's journal.;Silk Pack
5553;You've made a pack! You can carry extra material in it. You consider that clothes could be made with hide as well, but you'll need something stronger than woven fiber...;Discard the materials used and gain the Hide Pack item card (search the Item Card deck facedown for IT32). Record the recipe for this item in your tribe's journal.;Hide Pack
5555;You've made a fishing net! While simple, a net is very useful for fishing.;Discard the materials used and gain the Fishing Net item card (search the Item Card deck facedown for IT30). Record the recipe for this item in your tribe's journal.;Fishing Net
6123;After pouring some of the liquid moonblood over a flat surface so that it hardens into a thin blade under the light of a full moon, you affix a handle. The axe you've made is keen and menacing, unlike any weapon you've made before. It even appears to harden further for a short time after each full moon.;Discard the materials used and gain the Moonblood Axe item card (search the Item Card deck facedown for IT59). Record the recipe for this item in your tribe's journal.;Moonblood Axe
6512;Perhaps if you used regular wood, you could create something interesting with the sunstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
6513;Perhaps if you used regular bone or wood, you could create something interesting with the sunstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
6514;A riverstone and sunstone together don't yield anything useful. Perhaps if you substituted a cloudstone for one of the other stones…;Return the materials to your inventory.;None
6523;You've made a lithophone! This musical instrument can inspire you and your companions.;Discard the materials used and gain the lithophone item card (search the Item Card deck facedown for IT42). Record the recipe for this item in your tribe's journal.;Lithophone
6533;Perhaps if you used regular wood, you could create something interesting with the sunstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
6534;A riverstone and sunstone together don't yield anything useful. Perhaps if you substituted a cloudstone for one of the other stones…;Return the materials to your inventory.;None
6540;After shaping a piece of sunstone, you paint it with a design to represent the sun. Much more than just a trinket, this item has important meaning for you.;Discard the materials used and gain the Sunstone Talisman item card (search the Item Card deck facedown for IT53). Record the recipe for this item in your tribe's journal.;Sunstone Talisman
6542;You've made set of grinding stones! A flat piece of cloudstone serves as the saddle stone and shaped piece of sunstone serves as the grinding stone itself. This item can be used to grind and shape various materials. It can also be used finely grind up material to discover what it produces.;Discard the materials used and gain the Grinding Stones item card (search the Item Card deck facedown for IT17). Record the recipe for this item in your tribe's journal.;Grinding Stones
6544;Perhaps if you used regular bone or wood, you could create something interesting with the sunstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
6556;Two sunstones together don't create anything useful, but as you rhythmically clack them together, you can't help but wonder. Perhaps a sunstone and a different stone would yield a more interesting result…;Return the materials to your inventory.;None
